guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
ENSDARG00000001244_13_1,0.0000,-0.4697,1.000000,0.871011,0.869335,-18.8000,-20.2103,0.625000,0.503936,0.513990,0.922591,0.986970,0.901892,0.972736,0.956905,0.995519,0.942116,0.072409,0.904943,0.061047,0.760122,0.068447,0.779011,0.069706,0.997751,0.986049,0.786035,0.095357,0.744250,0.073543,0.874458,0.963541,0.848530,0.902990,0.826861,0.815152,0.825989,0.392774,0.876342,0.051088,0.841976,0.058270,0.781010,0.619073,0.832272,0.554161,0.991829,0.584215,0.991812,0.956754
ENSDARG00000001244_13_2,0.0000,-0.8677,1.000000,0.963687,0.841255,-16.2000,-18.5156,0.625000,0.760633,0.722088,0.346658,0.391958,0.347372,0.405034,0.945985,0.884646,0.934542,0.712574,0.933295,0.708102,0.947031,0.786269,0.812746,0.838358,0.783987,0.799542,0.738161,0.729374,0.591719,0.694669,0.735359,0.805434,0.998743,0.600744,0.999801,0.523116,0.994333,0.502275,0.989721,0.494275,0.914365,0.901743,0.984344,0.988223,0.947910,0.949687,0.924617,0.896255,0.954402,0.829487
ENSDARG00000001244_13_3,-1.7000,-2.0378,0.875000,0.857323,0.647636,-17.8000,-20.1194,0.250000,0.541718,0.541041,0.165467,0.684614,0.927807,0.866058,0.086651,0.604910,0.114601,0.612794,0.324637,0.680051,0.908166,0.803638,0.990466,0.968505,0.957171,0.493723,0.334274,0.140430,0.131003,0.050057,0.165167,0.155806,0.988719,0.426479,0.212539,0.454930,0.922668,0.811735,0.920148,0.416407,0.921885,0.387860,0.926004,0.400676,0.980184,0.473354,0.982161,0.591199,0.992995,0.797583
ENSDARG00000001244_13_4,-1.7000,-2.5241,0.625000,0.688607,0.560176,-19.9000,-22.5580,0.125000,0.251199,0.411716,0.226621,0.282893,0.145868,0.207277,0.497814,0.590725,0.587373,0.637576,0.066134,0.178165,0.088415,0.201297,0.995846,0.997709,0.995249,0.997472,0.998821,0.998456,0.799380,0.809957,0.052574,0.079930,0.240559,0.243280,0.095433,0.099049,0.184160,0.148010,0.266490,0.213019,0.998908,0.848712,0.987185,0.557714,0.996552,0.072055,0.984361,0.039671,0.995768,0.031361
ENSDARG00000001244_13_5,-0.3000,-1.3623,0.750000,0.721849,0.718912,-18.5000,-20.5660,0.500000,0.491207,0.547440,0.476101,0.530748,0.437052,0.493266,0.696226,0.581787,0.796865,0.750832,0.839999,0.646304,0.847085,0.764782,0.856397,0.869685,0.922322,0.840390,0.847368,0.328238,0.603929,0.223607,0.497825,0.282849,0.782276,0.706646,0.486320,0.257229,0.475749,0.403666,0.931479,0.864144,0.915490,0.848621,0.963538,0.763032,0.830810,0.721846,0.560017,0.044927,0.611389,0.026194
ENSDARG00000001244_13_6,-1.0000,-1.5108,0.500000,0.634060,0.690870,-19.2000,-20.4336,0.500000,0.592125,0.523188,0.914788,0.981385,0.898997,0.948063,0.909786,0.946793,0.958662,0.959730,0.985913,0.936151,0.342696,0.168513,0.342894,0.097930,0.346386,0.090799,0.833314,0.086652,0.302871,0.077720,0.926931,0.279883,0.981684,0.153139,0.897658,0.107502,0.913303,0.937876,0.502175,0.950115,0.943451,0.346546,0.353111,0.271937,0.308461,0.337738,0.242129,0.876186,0.912196,0.909102
ENSDARG00000001244_13_7,0.0000,-0.3365,1.000000,0.992330,0.919173,-16.4000,-18.1061,1.000000,0.940752,0.756078,0.952951,0.882586,0.947566,0.876605,0.903188,0.552891,0.999310,0.661492,0.730915,0.537491,0.705517,0.425504,0.975134,0.921188,0.987078,0.936600,0.999283,0.621482,0.962346,0.500190,0.685582,0.373363,0.595942,0.306149,0.976282,0.977407,0.996854,0.974787,0.992762,0.967309,0.995557,0.931956,0.987291,0.879190,0.993820,0.908708,0.996897,0.984610,0.999175,0.902049
ENSDARG00000001244_13_8,0.0000,-0.5594,1.000000,0.881709,0.837713,-21.7000,-22.9659,0.375000,0.551133,0.367765,0.908261,0.341999,0.754018,0.253150,0.572215,0.985051,0.605282,0.081790,0.675120,0.051076,0.980186,0.052497,0.969195,0.067896,0.980094,0.097524,0.976169,0.809513,0.816360,0.174451,0.702417,0.009870,0.761273,0.021413,0.993789,0.160658,0.967022,0.388634,0.964528,0.965434,0.976792,0.987035,0.708390,0.982955,0.713471,0.433704,0.732870,0.309663,0.996809,0.180983
ENSDARG00000001244_13_9,-4.0000,-4.7794,0.625000,0.550844,0.541215,-23.7000,-25.4730,0.500000,0.498583,0.468472,0.380082,0.960382,0.379360,0.948517,0.163266,0.932079,0.242671,0.968033,0.528201,0.123121,0.605159,0.104820,0.662315,0.400109,0.849165,0.354105,0.845432,0.246219,0.629298,0.271495,0.322822,0.035671,0.809775,0.036231,0.157291,0.024763,0.265641,0.020388,0.149203,0.016352,0.627022,0.980310,0.629676,0.980345,0.849761,0.981102,0.850969,0.980582,0.877187,0.004820
ENSDARG00000001244_13_10,-1.8000,-2.7432,0.250000,0.314538,0.413074,-19.3000,-21.6996,0.000000,0.215703,0.426154,0.561606,0.789541,0.119103,0.502204,0.075629,0.431100,0.058417,0.373310,0.068313,0.373866,0.506644,0.552370,0.196870,0.372645,0.537594,0.613543,0.995189,0.793976,0.999338,0.794301,0.992388,0.748463,0.634089,0.452132,0.051465,0.097446,0.246453,0.184109,0.234430,0.196881,0.068820,0.216979,0.094761,0.165099,0.197502,0.317453,0.627041,0.291450,0.995831,0.256202
