guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
Doench2016-0,-0.5700,-1.3718,0.500000,0.659679,0.710111,-20.8300,-23.5981,0.625000,0.531858,0.277084,0.670935,0.127415,0.352330,0.078115,0.361445,0.036606,0.931349,0.074510,0.447941,0.145298,0.574623,0.106987,0.998343,0.117414,0.994014,0.187999,0.969177,0.266993,0.963750,0.107298,0.909984,0.029923,0.750891,0.008265,0.886737,0.012595,0.330932,0.615378,0.354734,0.994435,0.754315,0.994638,0.613467,0.995294,0.615497,0.616066,0.850186,0.019474,0.871567,0.006983
Doench2016-1,-0.8800,-2.0750,0.625000,0.657869,0.669149,-26.2100,-27.3183,0.750000,0.744489,0.417758,0.999067,0.997059,0.977633,0.996906,0.869051,0.058252,0.427394,0.007040,0.161873,0.000712,0.407574,0.136982,0.874885,0.183383,0.747240,0.009496,0.578341,0.002092,0.601656,0.000585,0.738795,0.003129,0.736513,0.003598,0.899463,0.016054,0.838718,0.068898,0.353796,0.989200,0.353039,0.991061,0.629518,0.993945,0.627813,0.982474,0.675474,0.961730,0.885132,0.952554
Doench2016-2,-2.2400,-2.4757,0.375000,0.430008,0.451251,-20.9900,-22.2467,0.250000,0.276040,0.566094,0.999822,0.968522,0.191828,0.947705,0.056493,0.838857,0.058678,0.880553,0.999883,0.874879,0.088067,0.872402,0.054968,0.875804,0.067604,0.945825,0.998123,0.892843,0.998708,0.896195,0.999833,0.104743,0.070954,0.015230,0.045005,0.016221,0.129745,0.151300,0.964017,0.993792,0.997140,0.091144,0.057450,0.023658,0.055887,0.002741,0.191236,0.079594,0.999588,0.849873
Doench2016-3,0.0000,-0.7453,1.000000,0.714532,0.778259,-22.1500,-24.5015,0.250000,0.194354,0.384457,0.950763,0.929342,0.960834,0.358932,0.929151,0.321487,0.879597,0.366976,0.891563,0.635859,0.888157,0.408055,0.919990,0.640760,0.975373,0.567032,0.908280,0.320883,0.469890,0.375086,0.549380,0.992205,0.525956,0.217684,0.801719,0.451487,0.978420,0.076309,0.987421,0.007133,0.951019,0.000781,0.698121,0.001873,0.397638,0.001749,0.408164,0.017682,0.493752,0.997816
Doench2016-4,-6.7000,-6.7821,0.250000,0.254286,0.403431,-19.9100,-21.6752,0.250000,0.233917,0.377225,0.999986,0.906193,0.999998,0.893093,0.977953,0.868252,0.979790,0.917048,0.016657,0.023255,0.010565,0.016241,0.001410,0.002183,0.000195,0.000848,0.003715,0.004484,0.044141,0.046348,0.999947,0.997580,0.999978,0.997636,0.999981,0.998000,0.044177,0.047045,0.003754,0.006921,0.000132,0.003212,0.001369,0.004297,0.000293,0.002619,0.006622,0.008129,0.977961,0.801116
Doench2016-5,0.0000,-0.4675,1.000000,0.876565,0.887170,-21.3400,-22.6556,0.375000,0.453687,0.432575,0.993212,0.908507,0.918788,0.909676,0.901114,0.337738,0.892055,0.308856,0.997810,0.294123,0.943865,0.185881,0.994249,0.159566,0.888542,0.774916,0.867140,0.879356,0.759529,0.117066,0.665818,0.092850,0.908764,0.053473,0.893976,0.070024,0.896807,0.871538,0.999691,0.321220,0.938627,0.920789,0.988746,0.992487,0.999295,0.188314,0.646610,0.134324,0.648771,0.130800
Doench2016-6,0.0000,-0.2895,1.000000,0.965567,0.904798,-18.2400,-19.9869,0.500000,0.497068,0.648635,0.880394,0.896767,0.773350,0.865077,0.774079,0.832754,0.897642,0.806589,0.967173,0.729306,0.968904,0.901026,0.986330,0.943634,0.967180,0.914229,0.868030,0.861070,0.688188,0.419448,0.717453,0.696438,0.882698,0.129819,0.970508,0.018969,0.998172,0.029996,0.996324,0.843675,0.928172,0.903913,0.920987,0.176275,0.985936,0.160853,0.939551,0.930136,0.984887,0.912723
Doench2016-7,-0.7600,-1.4702,1.000000,0.931266,0.792852,-18.2700,-20.2521,0.750000,0.682860,0.554897,0.995463,0.969815,0.990866,0.905490,0.662837,0.763497,0.630219,0.715456,0.394294,0.274677,0.404007,0.308005,0.989892,0.504034,0.996979,0.498516,0.998727,0.417398,0.770400,0.212386,0.140177,0.032791,0.433053,0.032988,0.918393,0.066899,0.741892,0.788933,1.000000,0.816133,0.980844,0.810888,0.907654,0.922683,0.909277,0.886611,1.000000,0.981294,0.992069,0.189441
Doench2016-8,-0.5700,-1.2636,0.500000,0.656304,0.713664,-18.3400,-20.9614,1.000000,0.600243,0.378761,0.983696,0.995226,0.629684,0.101291,0.256645,0.063094,0.322107,0.042177,0.982534,0.080333,0.418156,0.067258,0.552499,0.083191,0.991185,0.087283,0.998451,0.129608,0.984859,0.160502,0.979417,0.259578,0.923613,0.703742,0.804016,0.588875,0.954030,0.725221,0.256430,0.542268,0.255525,0.601425,0.727722,0.604189,0.619566,0.664124,0.640100,0.593164,0.993047,0.482679
Doench2016-9,-2.3200,-2.6937,0.250000,0.369398,0.480377,-21.3100,-22.8835,0.625000,0.653723,0.486285,0.209235,0.986387,0.092986,0.773243,0.022214,0.123066,0.065367,0.051347,0.917578,0.050032,0.931151,0.984586,0.265789,0.191614,0.306801,0.137592,0.994853,0.934656,0.998775,0.092088,0.999109,0.087059,0.848502,0.084254,0.222746,0.587460,0.197438,0.659960,0.999577,0.996062,0.140471,0.956203,0.094612,0.421271,0.093222,0.329513,0.207777,0.301343,0.999339,0.977967
