guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
Doench2016-0,-1.2000,-1.8334,0.500000,0.621191,0.675180,-24.3000,-26.6661,0.625000,0.533784,0.265612,0.660292,0.102170,0.268796,0.064848,0.247156,0.026620,0.917952,0.062926,0.331240,0.121062,0.486827,0.074620,0.999025,0.082153,0.994774,0.151403,0.975061,0.213065,0.971416,0.109336,0.924976,0.027514,0.756558,0.006261,0.919315,0.011254,0.244797,0.624201,0.260533,0.995973,0.730583,0.996124,0.527190,0.996274,0.539043,0.624642,0.866688,0.016594,0.881384,0.005208
Doench2016-1,-1.3000,-2.4565,0.625000,0.631219,0.652917,-30.0000,-30.8193,0.750000,0.747590,0.413411,0.999314,0.997866,0.980398,0.997760,0.873096,0.049578,0.445442,0.004326,0.129353,0.000359,0.352013,0.095101,0.853754,0.129255,0.735535,0.007121,0.549857,0.001281,0.571910,0.000361,0.759890,0.002082,0.758027,0.002409,0.901859,0.012267,0.837980,0.054654,0.306720,0.992080,0.307100,0.993634,0.595298,0.996529,0.579498,0.989821,0.636001,0.974475,0.885298,0.967257
Doench2016-2,-2.9000,-3.0790,0.375000,0.413400,0.435727,-24.1000,-25.1058,0.250000,0.272121,0.569880,0.999916,0.975838,0.151170,0.957728,0.030019,0.861396,0.031860,0.898176,0.999948,0.890391,0.067187,0.877366,0.036205,0.883139,0.043254,0.941981,0.999115,0.910164,0.999384,0.914033,0.999916,0.097436,0.049373,0.012978,0.025518,0.013193,0.111426,0.133068,0.960248,0.995579,0.998317,0.083737,0.031256,0.017902,0.029713,0.001664,0.150883,0.073654,0.999842,0.858170
Doench2016-3,-0.2000,-0.9749,0.625000,0.665929,0.741882,-25.6000,-27.7323,0.250000,0.187671,0.371373,0.937314,0.929209,0.957763,0.359394,0.922254,0.327055,0.869009,0.367767,0.881487,0.628567,0.871466,0.384407,0.910020,0.611577,0.975225,0.538924,0.898976,0.277528,0.378973,0.336646,0.466769,0.993382,0.440955,0.171627,0.759579,0.409217,0.978853,0.067332,0.986705,0.005339,0.945004,0.000480,0.642430,0.001277,0.300897,0.000954,0.311346,0.018210,0.402620,0.998559
Doench2016-4,-7.5000,-7.5398,0.250000,0.252922,0.402339,-23.1000,-24.7573,0.250000,0.227355,0.375430,0.999992,0.913048,0.999999,0.901130,0.980763,0.878140,0.982986,0.929153,0.013147,0.017982,0.008782,0.013367,0.001048,0.001376,0.000090,0.000310,0.002559,0.002838,0.034069,0.034896,0.999968,0.998739,0.999992,0.998784,0.999993,0.998962,0.034095,0.035233,0.002585,0.004096,0.000057,0.001529,0.001021,0.002502,0.000174,0.001059,0.004688,0.005190,0.980767,0.770268
Doench2016-5,0.0000,-0.6895,1.000000,0.838451,0.853467,-24.1000,-25.4115,0.375000,0.499260,0.446522,0.992259,0.822625,0.893241,0.825579,0.875940,0.322145,0.867750,0.401102,0.997983,0.371576,0.938219,0.177035,0.994900,0.130251,0.855725,0.673320,0.829707,0.757916,0.669054,0.167883,0.562002,0.171350,0.884944,0.115575,0.869113,0.144926,0.872155,0.792172,0.999738,0.442087,0.928330,0.888679,0.988291,0.992715,0.999447,0.308973,0.523422,0.215102,0.527111,0.209422
Doench2016-6,0.0000,-0.3914,1.000000,0.961620,0.875780,-21.4000,-23.0374,0.500000,0.495317,0.635283,0.837485,0.868031,0.686421,0.838658,0.692686,0.815087,0.858200,0.793902,0.960722,0.701230,0.961615,0.888560,0.986524,0.937057,0.958506,0.916169,0.828802,0.840427,0.593278,0.320518,0.625527,0.706907,0.832869,0.116568,0.961652,0.007626,0.998662,0.014874,0.997006,0.881509,0.921238,0.950082,0.911020,0.135874,0.986782,0.130485,0.931340,0.928937,0.985259,0.913149
Doench2016-7,-1.2000,-1.8887,1.000000,0.929948,0.777456,-21.6000,-23.2864,0.750000,0.711243,0.529240,0.994049,0.973973,0.989819,0.924742,0.599855,0.700054,0.611004,0.648453,0.347115,0.202784,0.354208,0.208559,0.991981,0.469099,0.997708,0.346369,0.999055,0.261549,0.752552,0.111053,0.079651,0.020464,0.392547,0.027750,0.917426,0.059091,0.697418,0.875760,1.000000,0.888045,0.979840,0.886452,0.926326,0.932269,0.927702,0.921991,1.000000,0.994328,0.990870,0.132008
Doench2016-8,-1.2000,-1.6986,0.500000,0.611206,0.678793,-21.6000,-23.9217,1.000000,0.605094,0.374878,0.988450,0.996410,0.663887,0.078258,0.179389,0.049507,0.233462,0.031062,0.984961,0.067542,0.299774,0.053188,0.444139,0.078392,0.994456,0.082518,0.999115,0.120111,0.987284,0.143825,0.982795,0.255041,0.928499,0.700958,0.796546,0.614071,0.963923,0.752716,0.170032,0.539584,0.169897,0.588063,0.752083,0.590101,0.508408,0.648304,0.533563,0.595559,0.995194,0.512355
Doench2016-9,-2.9000,-3.2215,0.250000,0.360598,0.471621,-25.1000,-26.2872,0.625000,0.651795,0.475232,0.184423,0.988960,0.084299,0.851386,0.010400,0.079936,0.049488,0.025953,0.914570,0.023880,0.916967,0.992774,0.259947,0.120047,0.301501,0.082915,0.995715,0.956984,0.999281,0.056834,0.999531,0.055782,0.831514,0.054823,0.214346,0.627128,0.187825,0.698176,0.999729,0.998042,0.128152,0.960159,0.086294,0.378102,0.084935,0.294705,0.183842,0.271844,0.999665,0.986204
