guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
ENSDARG00000001244_13_1,0.0000,-0.9226,1.000000,0.800186,0.802698,-33.7400,-34.4450,0.500000,0.514766,0.502640,0.859364,0.001208,0.828780,0.000674,0.938811,0.000693,0.835103,0.000659,0.901961,0.005721,0.563770,0.036663,0.588102,0.951462,0.998643,0.998937,0.740474,0.994541,0.704713,0.993713,0.900943,0.996044,0.791818,0.954361,0.765712,0.953549,0.656839,0.012885,0.678795,0.007992,0.820372,0.015846,0.691521,0.991997,0.803767,0.992561,0.992728,0.994779,0.991753,0.148519
ENSDARG00000001244_13_2,-0.8300,-1.4611,1.000000,0.940926,0.798034,-26.8800,-28.6313,0.250000,0.340217,0.543131,0.222197,0.095537,0.221495,0.097398,0.906069,0.990986,0.887841,0.900246,0.887913,0.902940,0.948253,0.963587,0.783669,0.865871,0.813793,0.737005,0.692299,0.611773,0.437642,0.406441,0.634062,0.621138,0.998047,0.947961,0.999873,0.152531,0.993620,0.078622,0.988803,0.070414,0.869889,0.100113,0.987347,0.239881,0.901159,0.980860,0.872638,0.992495,0.914080,0.106823
ENSDARG00000001244_13_3,-3.1600,-3.3684,0.875000,0.851064,0.621029,-28.6900,-29.7686,0.500000,0.565236,0.455909,0.094041,0.268095,0.965998,0.208944,0.023273,0.749650,0.035943,0.102809,0.193709,0.084504,0.922247,0.113603,0.996166,0.992503,0.974624,0.963926,0.233629,0.927254,0.079603,0.044148,0.098097,0.075280,0.994737,0.065576,0.115648,0.557185,0.927803,0.452746,0.927255,0.064165,0.927767,0.075848,0.931419,0.518515,0.991284,0.948085,0.991024,0.951794,0.996312,0.953548
ENSDARG00000001244_13_4,-3.0400,-3.7745,0.625000,0.653808,0.526704,-34.8800,-35.5177,0.250000,0.277146,0.410984,0.107508,0.995788,0.051918,0.996330,0.375822,0.999155,0.662050,0.999416,0.029467,0.006790,0.045350,0.001170,0.998120,0.001219,0.997300,0.000896,0.999656,0.000809,0.672384,0.002783,0.021948,0.998955,0.342100,0.999194,0.045573,0.999140,0.075047,0.002656,0.132320,0.003033,0.999745,0.035246,0.991061,0.996766,0.998228,0.115657,0.990330,0.004062,0.998161,0.060610
ENSDARG00000001244_13_5,-2.0200,-2.7056,0.750000,0.651809,0.641290,-33.7200,-34.8141,0.500000,0.497135,0.249156,0.218324,0.001556,0.163628,0.000853,0.534570,0.001054,0.659479,0.001571,0.934254,0.009386,0.950874,0.010634,0.950832,0.010271,0.936679,0.010417,0.928525,0.167253,0.501171,0.121525,0.195807,0.076604,0.637186,0.594914,0.180628,0.097766,0.173617,0.218458,0.975359,0.713948,0.968277,0.718727,0.983897,0.905444,0.941754,0.911042,0.481837,0.206527,0.509105,0.205171
ENSDARG00000001244_13_6,-2.7300,-2.9098,0.500000,0.542453,0.626399,-30.8900,-32.8389,0.125000,0.156133,0.425867,0.955489,0.696541,0.952626,0.684555,0.956466,0.685884,0.977654,0.766011,0.992387,0.837105,0.097418,0.923338,0.097682,0.640160,0.095076,0.424705,0.933325,0.289748,0.156531,0.201778,0.982299,0.563291,0.991410,0.555156,0.947711,0.770026,0.953467,0.022098,0.231998,0.018182,0.988050,0.058289,0.120477,0.109889,0.095915,0.105256,0.045619,0.093225,0.956386,0.072100
ENSDARG00000001244_13_7,-0.0900,-0.6976,1.000000,0.992793,0.864967,-33.3900,-34.3548,0.750000,0.754465,0.429023,0.846694,0.013561,0.884133,0.009332,0.734615,0.009572,0.999504,0.019316,0.626771,0.297752,0.605235,0.964992,0.971282,0.943597,0.990329,0.278132,0.999531,0.003552,0.855901,0.000677,0.523510,0.001690,0.319492,0.002555,0.972811,0.931678,0.997594,0.745891,0.994618,0.126612,0.996588,0.281962,0.988929,0.953506,0.995078,0.998125,0.997327,0.999727,0.999398,0.998221
ENSDARG00000001244_13_8,-0.7000,-1.2225,0.625000,0.784512,0.750360,-32.0900,-33.6055,0.500000,0.504854,0.304435,0.874545,0.688031,0.709257,0.006857,0.319810,0.065485,0.366848,0.943828,0.412089,0.017758,0.959636,0.014245,0.948926,0.014223,0.976579,0.018020,0.977195,0.063047,0.807381,0.098856,0.663129,0.068048,0.715716,0.051476,0.992636,0.089926,0.939157,0.098440,0.943879,0.955016,0.978321,0.796557,0.463103,0.968042,0.470234,0.941045,0.491514,0.091151,0.997256,0.098651
ENSDARG00000001244_13_9,-5.7000,-6.2064,0.625000,0.549257,0.551393,-33.3300,-35.4984,0.500000,0.485496,0.283393,0.362415,0.926949,0.362205,0.271132,0.168054,0.085358,0.235378,0.035704,0.674953,0.068718,0.607681,0.045716,0.674080,0.099498,0.842080,0.080005,0.839224,0.055950,0.749726,0.054004,0.287007,0.012314,0.830993,0.048549,0.160159,0.050756,0.259877,0.050692,0.137826,0.003667,0.639980,0.932273,0.641862,0.932148,0.842347,0.932755,0.842419,0.974245,0.869588,0.007429
ENSDARG00000001244_13_10,-4.1200,-4.6114,0.125000,0.215299,0.358105,-30.4800,-31.7215,0.375000,0.446944,0.397783,0.371514,0.348365,0.028545,0.198057,0.013234,0.751697,0.010184,0.184555,0.014580,0.160380,0.748281,0.161514,0.132751,0.794581,0.260609,0.764436,0.998919,0.827759,0.999834,0.067613,0.998430,0.049983,0.862833,0.071176,0.010412,0.215239,0.128523,0.877116,0.122606,0.658603,0.011557,0.616423,0.016465,0.334621,0.047203,0.418762,0.387687,0.288603,0.997940,0.166184
ENSDARG00000002193_0_1,-4.3400,-4.9935,0.375000,0.466389,0.513418,-35.7400,-36.8102,0.250000,0.518514,0.358449,0.615029,0.003474,0.586554,0.000102,0.609371,0.000202,0.022350,0.000556,0.331880,0.979404,0.214338,0.977189,0.815204,0.090256,0.473106,0.007935,0.466082,0.007933,0.993672,0.007660,0.730071,0.080178,0.679586,0.865988,0.803382,0.910297,0.203384,0.468123,0.248649,0.453280,0.361413,0.935575,0.160190,0.386507,0.472166,0.345776,0.648110,0.314516,0.833821,0.334038
ENSDARG00000002193_0_2,-3.9200,-4.3155,0.750000,0.750257,0.555783,-30.9800,-31.8036,0.375000,0.416504,0.376528,0.015116,0.716496,0.994473,0.644634,0.008751,0.666698,0.006158,0.104740,0.011577,0.006086,0.538367,0.007815,0.997287,0.008456,0.997848,0.007256,0.995518,0.035456,0.533331,0.152997,0.005378,0.875354,0.009792,0.972531,0.010414,0.971510,0.998489,0.132947,0.010728,0.120141,0.997447,0.052339,0.997112,0.041674,0.994530,0.025044,0.995913,0.993364,0.997422,0.995012
ENSDARG00000002193_0_3,-3.4800,-3.5096,0.875000,0.871709,0.699389,-35.0600,-36.1908,0.875000,0.783920,0.421966,0.040853,0.150066,0.039472,0.007646,0.022505,0.000148,0.986897,0.000022,0.970853,0.000024,0.971693,0.000465,0.967147,0.000783,0.995755,0.995189,0.999582,0.989370,0.995046,0.010415,0.014595,0.010991,0.009702,0.002840,0.011644,0.008074,1.000000,0.998092,0.982889,0.484351,0.981528,0.832070,0.999999,0.988070,0.999999,0.993048,0.998706,0.989217,0.998907,0.978440
ENSDARG00000002193_0_4,-3.0100,-3.1229,1.000000,0.985420,0.793850,-31.5300,-32.5351,0.000000,0.030146,0.408441,0.107675,0.091718,0.101531,0.085559,0.919722,0.913726,0.924212,0.919488,0.999422,0.999770,0.999988,0.999713,0.087485,0.086696,0.082723,0.086623,0.992034,0.970355,0.925276,0.884862,0.853574,0.889662,1.000000,0.999487,0.999156,0.003395,1.000000,0.002527,0.990507,0.005300,0.976306,0.034243,1.000000,0.043991,0.938786,0.077092,0.979311,0.033491,0.999293,0.041132
ENSDARG00000002193_0_5,-6.5200,-6.6368,0.625000,0.624060,0.605104,-34.8000,-35.8585,0.625000,0.547832,0.385730,0.958821,0.291766,0.142695,0.177727,1.000000,0.810260,0.996441,0.107793,0.002413,0.005507,0.001727,0.002735,0.069331,0.001613,0.944069,0.008746,0.944082,0.741678,1.000000,0.727093,0.990196,0.256798,0.059832,0.200224,0.036473,0.519301,0.033023,0.517382,1.000000,0.341648,0.942969,0.298537,0.062043,0.297945,1.000000,0.997031,0.967634,0.705776,0.950335,0.705038
ENSDARG00000002193_0_6,-8.1600,-8.5864,0.375000,0.381335,0.455235,-32.1900,-33.7858,0.250000,0.281913,0.469989,0.000544,0.722270,0.000007,0.707909,0.000488,0.655970,0.000269,0.684069,0.049588,0.883451,0.999566,0.956672,0.502065,0.201793,0.999820,0.305315,1.000000,0.315036,0.999997,0.274203,0.999123,0.780734,0.502542,0.657048,0.999598,0.143592,0.049813,0.078987,0.000250,0.090169,0.000502,0.005567,0.000023,0.000471,0.000528,0.000471,0.999985,0.968679,0.999984,0.967370
ENSDARG00000002193_0_7,-8.6000,-8.9114,0.250000,0.308897,0.441541,-32.7700,-34.2214,0.375000,0.338352,0.361302,0.983838,0.079591,0.983812,0.087488,0.368173,0.023815,0.001943,0.001837,0.009084,0.360495,0.016142,0.675769,0.016152,0.863663,0.036641,0.867105,0.992401,0.644674,0.983723,0.323980,0.983871,0.287619,0.983864,0.303189,0.983884,0.149777,0.999950,0.629216,0.036131,0.339236,0.016224,0.040434,0.016253,0.244177,0.016661,0.470888,0.017817,0.493666,0.384254,0.339423
ENSDARG00000002193_0_8,-5.2300,-5.6209,0.375000,0.329370,0.461371,-32.8600,-33.8677,0.250000,0.266958,0.485586,0.988726,0.802197,0.986013,0.647935,0.021513,0.634792,0.009234,0.841671,0.014510,0.943264,0.019068,0.836543,0.020321,0.406600,0.997864,0.330099,0.557150,0.326579,0.992534,0.784750,0.997275,0.872862,0.988258,0.148765,0.986093,0.128548,0.541248,0.684313,0.994860,0.005576,0.015790,0.001533,0.019179,0.033332,0.018963,0.045503,0.018665,0.992164,0.040165,0.244694
ENSDARG00000002193_0_9,-4.8000,-4.9159,1.000000,0.963153,0.672385,-30.1400,-31.1042,0.375000,0.456362,0.394088,0.000848,0.010895,0.000353,0.008842,0.012494,0.023858,0.995593,0.993840,1.000000,0.994541,0.999997,0.992673,0.999993,0.996964,0.012479,0.009767,0.005005,0.002020,0.005507,0.009818,0.840151,0.095692,0.870054,0.091951,0.995347,0.095815,0.995352,0.918959,0.999912,0.217232,0.985894,0.101242,0.998478,0.080912,0.869909,0.291769,0.860370,0.976949,0.999966,0.968016
ENSDARG00000002193_0_10,-3.9800,-4.3119,0.625000,0.677880,0.562430,-32.3500,-34.0255,0.125000,0.460996,0.342595,0.888064,0.367849,0.287777,0.131972,0.313464,0.348544,0.205808,0.190676,0.137320,0.181258,0.140995,0.198571,0.994571,0.424560,0.951967,0.134090,0.872773,0.204015,0.880503,0.347061,0.021612,0.006780,0.130712,0.628563,0.199673,0.642004,0.999951,0.833170,0.312812,0.662094,0.321158,0.886853,0.998443,0.651473,0.817571,0.001228,0.869385,0.001462,0.904051,0.009684
ENSDARG00000003025_2_1,-8.2700,-8.3088,0.500000,0.501305,0.497738,-32.9500,-34.1702,0.125000,0.179938,0.366398,0.001315,0.043183,0.000056,0.000201,0.000319,0.000295,0.007497,0.003018,0.005666,0.028320,0.989259,0.939576,0.973345,0.952362,0.999951,0.988574,0.996419,0.954314,0.992196,0.982128,0.967536,0.931420,0.010752,0.065068,0.010998,0.050727,0.004189,0.068161,0.003976,0.021879,0.011919,0.022138,0.993154,0.941419,0.993078,0.168833,0.993133,0.143205,0.999996,0.023144
ENSDARG00000003025_2_2,-2.5700,-3.4727,0.500000,0.695332,0.626594,-33.7200,-34.4617,0.375000,0.387508,0.443231,0.560845,0.834706,0.569880,0.058898,0.286967,0.096605,0.693964,0.344968,0.389236,0.445261,0.443534,0.991458,0.500353,0.429712,0.919588,0.414533,0.856951,0.912806,0.667784,0.637814,0.626831,0.589012,0.453287,0.008792,0.389027,0.001677,0.348765,0.002146,0.678989,0.035248,0.786263,0.030043,0.448768,0.031553,0.943312,0.999947,0.982244,0.999946,0.985289,0.999505
