guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
ENSDARG00000001244_13_1,0.0000,-0.4697,1.000000,0.871011,0.869335,-25.5000,-26.3196,0.500000,0.525989,0.507761,0.922591,0.004491,0.901892,0.002961,0.956905,0.002970,0.942116,0.002945,0.904943,0.010666,0.760122,0.051136,0.779011,0.956503,0.997751,0.996048,0.786035,0.987461,0.744250,0.985120,0.874458,0.986617,0.848530,0.960399,0.826861,0.963053,0.825989,0.027118,0.876342,0.018547,0.841976,0.033546,0.781010,0.985679,0.832272,0.987622,0.991829,0.988629,0.991812,0.203717
ENSDARG00000001244_13_2,0.0000,-0.8677,1.000000,0.963687,0.841255,-18.1000,-20.5497,0.625000,0.450732,0.594906,0.346658,0.225065,0.347372,0.226004,0.945985,0.972544,0.934542,0.759776,0.933295,0.770767,0.947031,0.951039,0.812746,0.845082,0.783987,0.652735,0.738161,0.616646,0.591719,0.632132,0.735359,0.760664,0.998743,0.879808,0.999801,0.259698,0.994333,0.166437,0.989721,0.151764,0.914365,0.256165,0.984344,0.558639,0.947910,0.960080,0.924617,0.977078,0.954402,0.275999
ENSDARG00000001244_13_3,-1.7000,-2.0378,0.875000,0.857323,0.647636,-20.0000,-21.7419,0.625000,0.579648,0.505653,0.165467,0.405647,0.927807,0.349165,0.086651,0.604336,0.114601,0.305092,0.324637,0.282637,0.908166,0.329992,0.990466,0.980369,0.957171,0.917758,0.334274,0.835737,0.131003,0.157478,0.165167,0.185219,0.988719,0.122450,0.212539,0.390828,0.922668,0.622082,0.920148,0.150219,0.921885,0.162021,0.926004,0.609247,0.980184,0.884912,0.982161,0.897864,0.992995,0.920011
ENSDARG00000001244_13_4,-1.7000,-2.5241,0.625000,0.688607,0.560176,-26.0000,-26.8545,0.250000,0.292130,0.416908,0.226621,0.983948,0.145868,0.983492,0.497814,0.995330,0.587373,0.996692,0.066134,0.020105,0.088415,0.004750,0.995846,0.005579,0.995249,0.004704,0.998821,0.004624,0.799380,0.009968,0.052574,0.995900,0.240559,0.996027,0.095433,0.995985,0.184160,0.010757,0.266490,0.009787,0.998908,0.053750,0.987185,0.990681,0.996552,0.203641,0.984361,0.011195,0.995768,0.061245
ENSDARG00000001244_13_5,-0.3000,-1.3623,0.750000,0.721849,0.718912,-25.6000,-27.3787,0.500000,0.497556,0.244418,0.476101,0.003261,0.437052,0.001449,0.696226,0.001796,0.796865,0.001619,0.839999,0.006169,0.847085,0.006823,0.856397,0.020579,0.922322,0.023302,0.847368,0.190605,0.603929,0.146852,0.497825,0.119918,0.782276,0.385527,0.486320,0.114985,0.475749,0.180614,0.931479,0.434379,0.915490,0.450372,0.963538,0.887585,0.830810,0.903226,0.560017,0.506108,0.611389,0.503180
ENSDARG00000001244_13_6,-1.0000,-1.5108,0.500000,0.634060,0.690870,-23.1000,-25.0916,0.125000,0.186969,0.456217,0.914788,0.874574,0.898997,0.838449,0.909786,0.818770,0.958662,0.837687,0.985913,0.860345,0.342696,0.900751,0.342894,0.561829,0.346386,0.428130,0.833314,0.386200,0.302871,0.273495,0.926931,0.405367,0.981684,0.442982,0.897658,0.839899,0.913303,0.043235,0.502175,0.019436,0.943451,0.050855,0.353111,0.147084,0.308461,0.143056,0.242129,0.130445,0.912196,0.121742
ENSDARG00000001244_13_7,0.0000,-0.3365,1.000000,0.992330,0.919173,-25.5000,-26.5328,0.750000,0.757115,0.435275,0.952951,0.043684,0.947566,0.032708,0.903188,0.032764,0.999310,0.045224,0.730915,0.300940,0.705517,0.977115,0.975134,0.962488,0.987078,0.240701,0.999283,0.003481,0.962346,0.000989,0.685582,0.003346,0.595942,0.005127,0.976282,0.902527,0.996854,0.769786,0.992762,0.180920,0.995557,0.273921,0.987291,0.936383,0.993820,0.997147,0.996897,0.999180,0.999175,0.997059
ENSDARG00000001244_13_8,0.0000,-0.5594,1.000000,0.881709,0.837713,-23.8000,-25.5165,0.500000,0.528524,0.324554,0.908261,0.585453,0.754018,0.031224,0.572215,0.114116,0.605282,0.915817,0.675120,0.059950,0.980186,0.054790,0.969195,0.024246,0.980094,0.027273,0.976169,0.086106,0.816360,0.156851,0.702417,0.123927,0.761273,0.083135,0.993789,0.148690,0.967022,0.199006,0.964528,0.893065,0.976792,0.766204,0.708390,0.925426,0.713471,0.914478,0.732870,0.184421,0.996809,0.196898
ENSDARG00000001244_13_9,-4.0000,-4.7794,0.625000,0.550844,0.541215,-24.7000,-27.3140,0.500000,0.489075,0.300824,0.380082,0.876767,0.379360,0.267095,0.163266,0.122338,0.242671,0.072939,0.528201,0.117860,0.605159,0.100672,0.662315,0.178177,0.849165,0.111833,0.845432,0.081464,0.629298,0.081008,0.322822,0.037603,0.809775,0.056119,0.157291,0.059273,0.265641,0.057501,0.149203,0.005679,0.627022,0.929988,0.629676,0.929740,0.849761,0.930380,0.850969,0.976505,0.877187,0.023537
ENSDARG00000001244_13_10,-1.8000,-2.7432,0.250000,0.314538,0.413074,-21.5000,-23.7490,0.375000,0.476485,0.447034,0.561606,0.501026,0.119103,0.330473,0.075629,0.645513,0.058417,0.443800,0.068313,0.405379,0.506644,0.353731,0.196870,0.688511,0.537594,0.648796,0.995189,0.715883,0.999338,0.148207,0.992388,0.110798,0.634089,0.136682,0.051465,0.318360,0.246453,0.803844,0.234430,0.614817,0.068820,0.571763,0.094761,0.440911,0.197502,0.508316,0.627041,0.336455,0.995831,0.217418
