guide_id,vienna_mfe_energy_spacer,vienna_ensemble_energy_spacer,vienna_seed_mfe_spacer,vienna_seed_ensemble_spacer,vienna_mean_unpaired_spacer,vienna_mfe_energy_full,vienna_ensemble_energy_full,vienna_seed_mfe_full,vienna_seed_ensemble_full,vienna_mean_unpaired_full,vienna_unpaired_spacer_01,vienna_unpaired_full_01,vienna_unpaired_spacer_02,vienna_unpaired_full_02,vienna_unpaired_spacer_03,vienna_unpaired_full_03,vienna_unpaired_spacer_04,vienna_unpaired_full_04,vienna_unpaired_spacer_05,vienna_unpaired_full_05,vienna_unpaired_spacer_06,vienna_unpaired_full_06,vienna_unpaired_spacer_07,vienna_unpaired_full_07,vienna_unpaired_spacer_08,vienna_unpaired_full_08,vienna_unpaired_spacer_09,vienna_unpaired_full_09,vienna_unpaired_spacer_10,vienna_unpaired_full_10,vienna_unpaired_spacer_11,vienna_unpaired_full_11,vienna_unpaired_spacer_12,vienna_unpaired_full_12,vienna_unpaired_spacer_13,vienna_unpaired_full_13,vienna_unpaired_spacer_14,vienna_unpaired_full_14,vienna_unpaired_spacer_15,vienna_unpaired_full_15,vienna_unpaired_spacer_16,vienna_unpaired_full_16,vienna_unpaired_spacer_17,vienna_unpaired_full_17,vienna_unpaired_spacer_18,vienna_unpaired_full_18,vienna_unpaired_spacer_19,vienna_unpaired_full_19,vienna_unpaired_spacer_20,vienna_unpaired_full_20
Doench2016-0,-1.2000,-1.8334,0.500000,0.621191,0.675180,-23.9000,-25.5860,0.625000,0.531986,0.406238,0.660292,0.408642,0.268796,0.332319,0.247156,0.105278,0.917952,0.120364,0.331240,0.666960,0.486827,0.408587,0.999025,0.426259,0.994774,0.671538,0.975061,0.688214,0.971416,0.031276,0.924976,0.009011,0.756558,0.000431,0.919315,0.001332,0.244797,0.622764,0.260533,0.999581,0.730583,0.999733,0.527190,0.999943,0.539043,0.622900,0.866688,0.009431,0.881384,0.000201
Doench2016-1,-1.3000,-2.4565,0.625000,0.631219,0.652917,-19.1000,-21.5874,0.250000,0.427110,0.517589,0.999314,0.970381,0.980398,0.567125,0.873096,0.506520,0.445442,0.266877,0.129353,0.124736,0.352013,0.604022,0.853754,0.888059,0.735535,0.597405,0.549857,0.453244,0.571910,0.467268,0.759890,0.747815,0.758027,0.741455,0.901859,0.908090,0.837980,0.871605,0.306720,0.337455,0.307100,0.331884,0.595298,0.580293,0.579498,0.117971,0.636001,0.097400,0.885298,0.172185
Doench2016-2,-2.9000,-3.0790,0.375000,0.413400,0.435727,-21.8000,-22.9380,0.125000,0.229631,0.546029,0.999916,0.997088,0.151170,0.989822,0.030019,0.975861,0.031860,0.973752,0.999948,0.997698,0.067187,0.403657,0.036205,0.321832,0.043254,0.293917,0.999115,0.917731,0.999384,0.940836,0.999916,0.941513,0.049373,0.329822,0.025518,0.314732,0.111426,0.410188,0.960248,0.994928,0.998317,0.099831,0.031256,0.001927,0.029713,0.000605,0.150883,0.001953,0.999842,0.012883
Doench2016-3,-0.2000,-0.9749,0.625000,0.665929,0.741882,-20.4000,-22.4327,0.625000,0.512349,0.485284,0.937314,0.911035,0.957763,0.966088,0.922254,0.940167,0.869009,0.295731,0.881487,0.262374,0.871466,0.225482,0.910020,0.226332,0.975225,0.228737,0.898976,0.946832,0.378973,0.169946,0.466769,0.226929,0.440955,0.207236,0.759579,0.660445,0.978853,0.975960,0.986705,0.984247,0.945004,0.859824,0.642430,0.463957,0.300897,0.002905,0.311346,0.004409,0.402620,0.147047
Doench2016-4,-7.5000,-7.5398,0.250000,0.252922,0.402339,-23.1000,-24.6749,0.250000,0.226327,0.386462,0.999992,0.997339,0.999999,0.970254,0.980763,0.938239,0.982986,0.944712,0.013147,0.017115,0.008782,0.013101,0.001048,0.001164,0.000090,0.000119,0.002559,0.002587,0.034069,0.034123,0.999968,0.999910,0.999992,0.999957,0.999993,0.999969,0.034095,0.034165,0.002585,0.002667,0.000057,0.000116,0.001021,0.001178,0.000174,0.000185,0.004688,0.004429,0.980767,0.767907
Doench2016-5,0.0000,-0.6895,1.000000,0.838451,0.853467,-21.8000,-23.5090,0.750000,0.749895,0.493091,0.992259,0.951499,0.893241,0.999338,0.875940,0.375090,0.867750,0.291749,0.997983,0.146364,0.938219,0.063173,0.994900,0.029466,0.855725,0.003596,0.829707,0.000780,0.669054,0.000897,0.562002,0.000999,0.884944,0.999708,0.869113,0.999880,0.872155,0.999528,0.999738,0.999802,0.928330,0.999682,0.988291,0.999804,0.999447,0.999340,0.523422,0.000812,0.527111,0.000309
Doench2016-6,0.0000,-0.3914,1.000000,0.961620,0.875780,-19.5000,-21.4834,0.375000,0.439418,0.360227,0.837485,0.315896,0.686421,0.211695,0.692686,0.292487,0.858200,0.981131,0.960722,0.383183,0.961615,0.126490,0.986524,0.372255,0.958506,0.755351,0.828802,0.150603,0.593278,0.051793,0.625527,0.024110,0.832869,0.024206,0.961652,0.026897,0.998662,0.040405,0.997006,0.216189,0.921238,0.978456,0.911020,0.973484,0.986782,0.975708,0.931340,0.240834,0.985259,0.063370
Doench2016-7,-1.2000,-1.8887,1.000000,0.929948,0.777456,-21.1000,-22.3142,0.750000,0.748439,0.556201,0.994049,0.995973,0.989819,0.992102,0.599855,0.970231,0.611004,0.951814,0.347115,0.323224,0.354208,0.221481,0.991981,0.433299,0.997708,0.118108,0.999055,0.062279,0.752552,0.042455,0.079651,0.009513,0.392547,0.016033,0.917426,0.031974,0.697418,0.988954,1.000000,0.999916,0.979840,0.997597,0.926326,0.972947,0.927702,0.971469,1.000000,0.999905,0.990870,0.024753
Doench2016-8,-1.2000,-1.6986,0.500000,0.611206,0.678793,-20.5000,-22.2941,0.750000,0.629124,0.503448,0.988450,0.991181,0.663887,0.531423,0.179389,0.476540,0.233462,0.159065,0.984961,0.173860,0.299774,0.496474,0.444139,0.261930,0.994456,0.277658,0.999115,0.519590,0.987284,0.528422,0.982795,0.125667,0.928499,0.494161,0.796546,0.064787,0.963923,0.496414,0.170032,0.793944,0.169897,0.962516,0.752083,0.972367,0.508408,0.927636,0.533563,0.787293,0.995194,0.028037
Doench2016-9,-2.9000,-3.2215,0.250000,0.360598,0.471621,-20.7000,-21.9620,0.375000,0.441702,0.546207,0.184423,0.802261,0.084299,0.732570,0.010400,0.078577,0.049488,0.075028,0.914570,0.150748,0.916967,0.768966,0.259947,0.793333,0.301501,0.837188,0.995715,0.830084,0.999281,0.993513,0.999531,0.978524,0.831514,0.349730,0.214346,0.283709,0.187825,0.277795,0.999729,0.993621,0.128152,0.871879,0.086294,0.339715,0.084935,0.128961,0.183842,0.057352,0.999665,0.580585
